Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,170160,Bàscara,88,342,90,70,285,129,158,627,219
2019,250447,Bassella,11,68,33,10,72,30,21,140,63
2019,430228,Batea,132,547,265,121,520,305,253,1067,570
2019,250450,Bausen,0,17,13,2,15,11,2,32,24
2019,080207,Begues,667,2401,460,651,2443,476,1318,4844,936
2019,170139,Begur,232,1342,390,245,1268,448,477,2610,838
2019,250463,Belianes,29,157,83,24,150,82,53,307,165
2019,251706,Bellaguarda,15,96,41,7,77,51,22,173,92
2019,170182,Bellcaire d'Empordà,52,215,69,56,213,88,108,428,157
2019,250479,Bellcaire d'Urgell,79,403,145,77,342,184,156,745,329
2019,250485,Bell-lloc d'Urgell,157,770,212,178,719,279,335,1489,491
2019,250498,Bellmunt d'Urgell,8,61,20,12,55,29,20,116,49
2019,430234,Bellmunt del Priorat,21,88,36,8,82,45,29,170,81
2019,080214,Bellprat,0,24,17,1,13,9,1,37,26
2019,250501,Bellpuig,377,1921,407,415,1498,515,792,3419,922
2019,430249,Bellvei,205,741,186,191,683,197,396,1424,383
2019,250518,Bellver de Cerdanya,142,663,204,131,569,228,273,1232,432
2019,250523,Bellvís,171,735,243,136,639,331,307,1374,574
2019,250539,Benavent de Segrià,117,561,103,117,473,128,234,1034,231
2019,430252,Benifallet,24,220,104,33,225,133,57,445,237
2019,430265,Benissanet,68,444,134,69,302,144,137,746,278
2019,080229,Berga,1226,5356,1584,1077,5121,2130,2303,10477,3714
2019,170195,Besalú,200,722,248,205,792,325,405,1514,573
2019,170209,Bescanó,502,1649,354,461,1576,418,963,3225,772
2019,170216,Beuda,17,70,13,20,58,12,37,128,25
2019,080235,Bigues i Riells,801,3191,653,767,2977,703,1568,6168,1356
2019,250557,Biosca,3,62,29,6,44,32,9,106,61
2019,170221,"Bisbal d'Empordà, la",1022,3649,775,979,3528,1021,2001,7177,1796
2019,430271,"Bisbal de Falset, la",18,68,30,10,55,35,28,123,65
2019,430287,"Bisbal del Penedès, la",252,1237,373,230,1071,365,482,2308,738
2019,172348,Biure,11,72,35,12,70,32,23,142,67
2019,430290,Blancafort,22,129,47,23,111,57,45,240,104
2019,170237,Blanes,2862,13201,3293,2730,12819,4123,5592,26020,7416
2019,170293,Boadella i les Escaules,12,89,29,18,76,28,30,165,57
2019,170242,Bolvir,27,132,32,16,119,43,43,251,75
2019,430304,Bonastre,62,239,56,63,216,52,125,455,108
2019,250576,"Bòrdes, Es",17,102,25,17,77,21,34,179,46
2019,170255,Bordils,154,604,129,141,591,160,295,1195,289
2019,250582,"Borges Blanques, les",478,2048,579,443,1814,725,921,3862,1304
2019,430311,"Borges del Camp, les",190,688,172,153,614,220,343,1302,392
2019,170268,Borrassà,74,239,61,63,211,66,137,450,127
2019,080240,Borredà,22,171,60,16,121,55,38,292,115
2019,250595,Bossòst,70,382,90,81,374,112,151,756,202
2019,430326,Bot,28,168,99,21,148,109,49,316,208
2019,430332,Botarell,93,387,69,100,341,78,193,728,147
2019,250560,Bovera,8,79,46,9,55,50,17,134,96
2019,430347,Bràfim,73,218,66,54,191,90,127,409,156
2019,170274,Breda,232,1243,361,265,1190,449,497,2433,810
2019,080253,"Bruc, el",205,758,144,174,635,134,379,1393,278
2019,080266,"Brull, el",28,99,18,23,74,21,51,173,39
2019,170280,Brunyola i Sant Martí Sapresa,23,124,48,24,114,50,47,238,98
2019,430350,Cabacés,19,97,39,26,74,43,45,171,82
2019,250609,Cabanabona,2,28,6,2,18,19,4,46,25
2019,170314,Cabanelles,27,103,24,19,72,34,46,175,58
2019,170307,Cabanes,70,323,107,72,273,103,142,596,210
