Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,081094,Lluçà,21,93,20,30,88,21,51,181,41
2019,171024,Maçanet de Cabrenys,32,220,88,38,198,112,70,418,200
2019,171030,Maçanet de la Selva,518,2462,618,555,2188,665,1073,4650,1283
2019,170979,Madremanya,30,82,26,23,91,31,53,173,57
2019,170985,Maià de Montcal,30,171,50,32,119,47,62,290,97
2019,251333,Maials,46,336,135,45,225,133,91,561,268
2019,251305,Maldà,16,65,28,7,68,36,23,133,64
2019,081108,Malgrat de Mar,1369,6266,1645,1297,5836,2166,2666,12102,3811
2019,081115,Malla,26,89,24,17,86,31,43,175,55
2019,081120,Manlleu,1790,6987,1537,1731,6450,2078,3521,13437,3615
2019,081136,Manresa,6432,25227,6407,5970,24667,9011,12402,49894,15418
2019,430764,Marçà,40,208,66,36,179,65,76,387,131
2019,430751,Margalef,4,37,18,2,20,16,6,57,34
2019,082423,Marganell,17,85,29,6,90,39,23,175,68
2019,081141,Martorell,2546,9774,2009,2376,8844,2640,4922,18618,4649
2019,081154,Martorelles,361,1632,429,321,1530,528,682,3162,957
2019,430770,Mas de Barberans,23,182,83,27,161,102,50,343,185
2019,171002,Masarac,15,107,28,17,90,31,32,197,59
2019,430786,Masdenverge,70,345,131,65,327,132,135,672,263
2019,081167,"Masies de Roda, les",52,224,79,49,220,76,101,444,155
2019,081173,"Masies de Voltregà, les",232,1059,260,216,1054,320,448,2113,580
2019,430799,Masllorenç,44,192,47,32,138,51,76,330,98
2019,081189,"Masnou, el",1787,7688,1882,1659,7822,2677,3446,15510,4559
2019,430803,"Masó, la",22,84,40,16,75,39,38,159,79
2019,430810,Maspujols,86,281,59,67,272,62,153,553,121
2019,081192,Masquefa,825,3216,600,825,3057,688,1650,6273,1288
2019,430825,"Masroig, el",30,166,74,27,128,72,57,294,146
2019,251312,Massalcoreig,23,256,59,25,158,77,48,414,136
2019,171019,Massanes,77,242,86,67,220,69,144,462,155
2019,251327,Massoteres,19,80,20,21,59,19,40,139,39
2019,081206,Matadepera,885,3020,752,824,3023,822,1709,6043,1574
2019,081213,Mataró,10811,43291,9535,10177,41606,12845,20988,84897,22380
2019,081228,Mediona,207,729,223,194,700,269,401,1429,492
2019,251348,Menàrguens,33,307,100,38,218,110,71,525,210
2019,170998,Meranges,11,34,13,7,30,9,18,64,22
2019,171058,Mieres,16,106,38,24,89,45,40,195,83
2019,430831,"Milà, el",11,55,19,17,51,25,28,106,44
2019,251351,Miralcamp,111,427,139,110,413,151,221,840,290
2019,430846,Miravet,47,234,88,36,180,106,83,414,194
2019,081385,Moià,490,2225,475,504,1956,617,994,4181,1092
2019,430859,"Molar, el",13,102,43,9,80,50,22,182,93
2019,081234,Molins de Rei,2325,8400,1887,2177,8576,2503,4502,16976,4390
2019,251370,Mollerussa,1386,5262,895,1304,4638,1198,2690,9900,2093
2019,171061,Mollet de Peralada,15,54,27,14,48,31,29,102,58
2019,081249,Mollet del Vallès,4132,17269,3821,3956,17232,4908,8088,34501,8729
2019,171077,Molló,18,103,41,26,97,52,44,200,93
2019,251364,"Molsosa, la",2,35,16,4,33,17,6,68,33
2019,081287,Monistrol de Calders,42,246,69,27,218,80,69,464,149
2019,081271,Monistrol de Montserrat,237,1047,267,222,936,325,459,1983,592
2019,171096,Montagut i Oix,63,329,83,61,294,86,124,623,169
2019,430862,Montblanc,621,2504,612,533,2321,773,1154,4825,1385
2019,430884,Montbrió del Camp,299,988,198,270,906,229,569,1894,427
2019,081252,Montcada i Reixac,3112,12478,2311,3002,12171,3165,6114,24649,5476
2019,081304,Montclar,12,40,19,11,41,13,23,81,32
2019,251399,Montellà i Martinet,37,210,77,20,170,65,57,380,142
2019,081311,Montesquiu,93,315,93,70,307,120,163,622,213
2019,251403,Montferrer i Castellbò,96,349,121,83,301,91,179,650,212
2019,430897,Montferri,33,131,38,39,113,33,72,244,71
2019,251386,Montgai,29,209,91,20,161,115,49,370,206
2019,081265,Montgat,1100,4006,832,983,4098,1022,2083,8104,1854
2019,081326,Montmajor,35,131,65,39,131,63,74,262,128
2019,081332,Montmaneu,9,48,26,2,45,20,11,93,46
2019,430901,"Montmell, el",112,550,146,115,456,133,227,1006,279
2019,081350,Montmeló,648,2896,731,625,2901,954,1273,5797,1685
2019,251425,Montoliu de Lleida,29,171,51,23,141,74,52,312,125
2019,251410,Montoliu de Segarra,14,59,27,5,47,27,19,106,54
2019,251431,Montornès de Segarra,2,25,20,8,26,19,10,51,39
2019,081363,Montornès del Vallès,1497,5613,1141,1495,5279,1368,2992,10892,2509
2019,430918,Mont-ral,11,65,18,9,47,12,20,112,30
2019,171100,Mont-ras,113,562,171,87,561,185,200,1123,356
2019,430923,Mont-roig del Camp,997,4184,1079,913,3835,1128,1910,8019,2207
2019,081379,Montseny,26,118,35,24,95,44,50,213,79
2019,430939,Móra d'Ebre,480,1903,462,408,1816,621,888,3719,1083
2019,430944,Móra la Nova,214,1053,274,202,994,350,416,2047,624
2019,430957,"Morell, el",343,1331,207,331,1230,262,674,2561,469
2019,430960,"Morera de Montsant, la",6,62,17,12,39,16,18,101,33
2019,081290,Muntanyola,51,227,43,65,205,43,116,432,86
2019,081398,Mura,21,73,28,19,61,22,40,134,50
2019,251459,Nalec,3,22,20,2,25,15,5,47,35
2019,250254,Naut Aran,133,668,134,119,627,122,252,1295,256
2019,081402,Navarcles,405,1946,563,422,1915,726,827,3861,1289
2019,081419,Navàs,459,1988,551,451,1876,695,910,3864,1246
2019,171117,Navata,126,424,121,112,470,128,238,894,249
2019,251462,Navès,22,100,25,17,84,32,39,184,57
2019,081424,"Nou de Berguedà, la",6,49,28,11,45,22,17,94,50
2019,430976,"Nou de Gaià, la",73,180,47,62,184,57,135,364,104
2019,430982,Nulles,56,167,44,38,129,58,94,296,102
2019,251484,Odèn,9,93,47,5,64,31,14,157,78
2019,081430,Òdena,348,1233,267,320,1135,340,668,2368,607
2019,171122,Ogassa,16,87,27,16,65,23,32,152,50
2019,081458,Olèrdola,316,1280,304,301,1191,300,617,2471,604
2019,081461,Olesa de Bonesvalls,163,653,133,143,569,149,306,1222,282
2019,081477,Olesa de Montserrat,2215,8014,1684,2089,7756,2146,4304,15770,3830
2019,251497,Oliana,92,564,250,107,536,261,199,1100,511
2019,251500,Oliola,4,76,26,10,54,27,14,130,53
2019,251517,Olius,114,323,90,85,293,81,199,616,171
2019,081483,Olivella,361,1370,254,385,1196,233,746,2566,487
2019,081496,Olost,67,379,142,73,381,156,140,760,298
2019,171143,Olot,2687,12028,2854,2568,11098,3993,5255,23126,6847
2019,251522,"Oluges, les",10,50,28,5,43,31,15,93,59
2019,081445,Olvan,50,285,81,47,266,125,97,551,206
2019,251538,"Omellons, els",5,64,42,9,55,36,14,119,78
2019,251543,"Omells de na Gaia, els",4,48,20,4,36,19,8,84,39
2019,171156,Ordis,32,121,46,26,110,36,58,231,82
2019,251556,Organyà,51,240,97,44,218,134,95,458,231
2019,081509,Orís,19,114,26,26,106,24,45,220,50
2019,081516,Oristà,40,158,76,27,159,81,67,317,157
2019,081521,Orpí,13,55,12,12,43,12,25,98,24
2019,081537,Òrrius,70,257,54,63,239,56,133,496,110
2019,251569,Os de Balaguer,69,327,111,81,296,110,150,623,221
2019,171169,Osor,28,155,44,20,131,50,48,286,94
2019,251575,Ossó de Sió,15,59,24,15,62,29,30,121,53
2019,081542,Pacs del Penedès,74,315,80,76,295,82,150,610,162
2019,081555,Palafolls,881,3233,576,820,3187,708,1701,6420,1284
2019,171175,Palafrugell,1998,7568,1811,1867,7394,2336,3865,14962,4147
2019,171181,Palamós,1280,5943,1543,1172,5921,2051,2452,11864,3594
2019,251581,"Palau d'Anglesola, el",176,717,168,181,678,246,357,1395,414
2019,171194,Palau de Santa Eulàlia,7,32,13,5,23,11,12,55,24
2019,171215,Palau-sator,24,105,37,22,87,35,46,192,72
2019,171208,Palau-saverdera,140,448,153,123,443,169,263,891,322
2019,081568,Palau-solità i Plegamans,1170,4976,1100,1215,4999,1311,2385,9975,2411
2019,431009,"Pallaresos, els",503,1664,237,479,1598,296,982,3262,533
2019,081574,Pallejà,1074,3875,779,954,3817,1009,2028,7692,1788
2019,430995,"Palma d'Ebre, la",10,97,59,14,88,72,24,185,131
2019,089058,"Palma de Cervelló, la",220,1022,218,219,1018,257,439,2040,475
2019,171236,Palol de Revardit,36,145,47,40,135,52,76,280,99
2019,171241,Pals,167,779,276,160,737,292,327,1516,568
2019,081580,"Papiol, el",359,1401,292,352,1365,376,711,2766,668
2019,171254,Pardines,12,57,20,10,41,22,22,98,42
2019,081593,Parets del Vallès,1699,6541,1301,1575,6334,1632,3274,12875,2933
2019,171267,Parlavà,28,126,45,27,115,53,55,241,98
2019,171390,"Preses, les",154,591,145,151,559,188,305,1150,333
2019,431016,Passanant i Belltall,4,63,28,3,36,29,7,99,57
2019,171289,Pau,39,175,71,32,166,77,71,341,148
2019,431021,Paüls,35,146,96,30,154,95,65,300,191
2019,171292,Pedret i Marzà,20,65,16,17,61,19,37,126,35
2019,251641,Penelles,29,168,65,25,106,59,54,274,124
2019,171306,"Pera, la",39,148,34,30,130,65,69,278,99
2019,081607,Perafita,25,123,54,22,117,54,47,240,108
2019,431037,Perafort,142,439,73,115,411,81,257,850,154
2019,171328,Peralada,124,623,159,137,596,211,261,1219,370
2019,251654,Peramola,15,115,47,15,101,54,30,216,101
2019,431042,"Perelló, el",193,858,370,201,771,377,394,1629,747
2019,081614,Piera,1322,5463,1191,1234,4932,1461,2556,10395,2652
2019,431055,"Piles, les",22,69,29,20,58,14,42,127,43
2019,081635,Pineda de Mar,1983,9069,2536,1940,8605,3139,3923,17674,5675
2019,431068,"Pinell de Brai, el",55,331,130,51,270,180,106,601,310
2019,251667,Pinell de Solsonès,12,77,29,6,47,29,18,124,58
2019,251673,Pinós,18,99,34,24,79,33,42,178,67
2019,431074,Pira,39,173,49,34,146,52,73,319,101
2019,431080,"Pla de Santa Maria, el",179,827,209,157,713,242,336,1540,451
2019,081640,"Pla del Penedès, el",107,426,103,118,390,112,225,816,215
2019,171334,"Planes d'Hostoles, les",127,515,209,101,475,256,228,990,465
2019,171349,Planoles,18,104,35,15,78,38,33,182,73
2019,259118,"Plans de Sió, els",23,180,69,28,132,74,51,312,143
2019,251689,"Poal, el",47,218,75,32,191,85,79,409,160
2019,251692,"Pobla de Cérvoles, la",9,74,24,3,45,36,12,119,60
2019,081653,"Pobla de Claramunt, la",195,714,195,199,658,232,394,1372,427
2019,081666,"Pobla de Lillet, la",43,323,162,39,304,224,82,627,386
2019,431093,"Pobla de Mafumet, la",432,1416,134,386,1358,178,818,2774,312
2019,431107,"Pobla de Massaluca, la",19,101,61,10,76,51,29,177,112
2019,431114,"Pobla de Montornès, la",250,948,288,211,857,285,461,1805,573
2019,251713,"Pobla de Segur, la",208,925,336,195,870,450,403,1795,786
2019,431129,Poboleda,15,107,44,21,81,45,36,188,89
2019,081672,Polinyà,892,2985,418,877,2829,478,1769,5814,896
2019,431135,"Pont d'Armentera, el",24,163,71,27,140,80,51,303,151
2019,250306,"Pont de Bar, el",15,53,19,2,43,25,17,96,44
2019,171352,Pont de Molins,35,174,58,38,173,51,73,347,109
2019,251734,"Pont de Suert, el",165,747,195,149,699,265,314,1446,460
2019,081825,"Pont de Vilomara i Rocafort, el",349,1307,313,293,1199,369,642,2506,682
2019,431418,Pontils,3,38,25,4,33,14,7,71,39
2019,081688,Pontons,39,194,56,26,166,51,65,360,107
2019,171365,Pontós,26,87,28,17,81,27,43,168,55
2019,251728,Ponts,190,861,254,173,796,327,363,1657,581
2019,171371,Porqueres,385,1525,378,395,1487,451,780,3012,829
2019,431140,Porrera,17,169,43,23,125,62,40,294,105
2019,171404,"Port de la Selva, el",62,308,131,50,281,138,112,589,269
2019,171387,Portbou,36,323,169,48,291,208,84,614,377
2019,251749,"Portella, la",46,291,75,35,218,63,81,509,138
2019,431153,Pradell de la Teixeta,4,45,21,11,51,20,15,96,41
2019,431166,Prades,41,196,72,30,170,80,71,366,152
2019,431172,Prat de Comte,12,64,22,7,45,33,19,109,55
2019,081691,"Prat de Llobregat, el",5118,21184,5319,4919,21077,6982,10037,42261,12301
2019,431188,Pratdip,39,231,125,38,184,121,77,415,246
2019,081712,Prats de Lluçanès,158,861,261,159,814,316,317,1675,577
2019,081705,"Prats de Rei, els",42,192,49,30,145,74,72,337,123
2019,251752,Prats i Sansor,9,83,22,14,66,25,23,149,47
2019,251765,Preixana,24,114,61,27,95,64,51,209,125
2019,251771,Preixens,26,121,71,27,111,76,53,232,147
2019,082303,Premià de Dalt,902,3408,897,822,3432,987,1724,6840,1884
2019,081727,Premià de Mar,2165,9217,2322,2055,9103,3257,4220,18320,5579
2019,251790,Prullans,17,66,26,18,77,27,35,143,53
2019,171411,Puigcerdà,706,3266,613,697,3152,824,1403,6418,1437
2019,081748,Puigdàlber,40,175,41,61,161,48,101,336,89
2019,251804,Puiggròs,18,93,27,14,80,44,32,173,71
2019,431191,Puigpelat,111,424,55,102,390,67,213,814,122
2019,081751,Puig-reig,250,1358,478,245,1230,617,495,2588,1095
2019,251811,Puigverd d'Agramunt,17,96,33,12,69,28,29,165,61
2019,251826,Puigverd de Lleida,101,477,123,98,404,152,199,881,275
2019,081764,Pujalt,23,69,27,13,56,22,36,125,49
2019,081770,"Quar, la",6,10,13,3,15,6,9,25,19
2019,171426,Quart,418,1200,237,406,1191,272,824,2391,509
2019,170433,Queralbs,8,71,25,6,56,25,14,127,50
2019,431205,Querol,28,184,73,23,146,53,51,330,126
2019,171432,Rabós,9,54,26,9,51,29,18,105,55
2019,081786,Rajadell,31,184,60,43,173,57,74,357,117
2019,431212,Rasquera,43,224,117,43,222,132,86,446,249
2019,171447,Regencós,15,93,33,16,78,34,31,171,67
2019,081799,Rellinars,52,284,67,73,245,59,125,529,126
2019,431227,Renau,22,55,5,13,54,8,35,109,13
2019,431233,Reus,9105,33384,7926,8634,34625,10699,17739,68009,18625
2019,251832,Rialp,39,244,47,35,229,67,74,473,114
2019,431248,"Riba, la",36,207,78,28,148,88,64,355,166
2019,431251,Riba-roja d'Ebre,57,384,152,57,294,182,114,678,334
2019,259059,Ribera d'Ondara,21,133,59,23,125,65,44,258,124
2019,251850,Ribera d'Urgellet,78,328,82,69,277,101,147,605,183
2019,171450,Ribes de Freser,99,563,220,72,511,289,171,1074,509
2019,171463,Riells i Viabrea,329,1487,297,292,1411,308,621,2898,605
2019,431264,"Riera de Gaià, la",179,575,113,184,544,149,363,1119,262
2019,251863,Riner,21,82,29,20,71,40,41,153,69
2019,171479,Ripoll,770,3429,1074,704,3293,1416,1474,6722,2490
2019,081803,Ripollet,3534,13050,2496,3369,12869,3347,6903,25919,5843
2019,259139,Riu de Cerdanya,2,40,13,3,28,7,5,68,20
2019,171485,Riudarenes,184,747,194,175,674,208,359,1421,402
2019,171498,Riudaura,37,153,42,50,151,45,87,304,87
2019,431270,Riudecanyes,100,391,99,79,343,112,179,734,211
2019,431286,Riudecols,73,432,106,79,365,125,152,797,231
2019,171501,Riudellots de la Selva,179,719,155,162,681,180,341,1400,335
2019,431299,Riudoms,606,2191,583,522,2006,686,1128,4197,1269
2019,171518,Riumors,19,81,26,17,81,34,36,162,60
2019,081810,"Roca del Vallès, la",941,3652,726,925,3510,896,1866,7162,1622
2019,431303,Rocafort de Queralt,13,72,37,14,50,39,27,122,76
2019,431310,Roda de Berà,504,2167,670,495,1991,740,999,4158,1410
2019,081831,Roda de Ter,525,2117,476,508,2030,645,1033,4147,1121
2019,431325,Rodonyà,37,185,40,24,147,57,61,332,97
2019,431331,Roquetes,660,2811,655,599,2483,765,1259,5294,1420
2019,171523,Roses,1610,6619,1633,1540,6235,1913,3150,12854,3546
2019,251898,Rosselló,257,1141,204,274,990,279,531,2131,483
2019,431346,"Rourell, el",29,133,29,23,117,35,52,250,64
2019,081846,Rubí,6727,26357,5274,6380,25991,6735,13107,52348,12009
2019,081859,Rubió,18,82,33,12,69,25,30,151,58
2019,171539,Rupià,18,82,38,27,75,32,45,157,70
2019,089019,Rupit i Pruit,15,84,40,14,78,48,29,162,88
2019,081878,Sabadell,17618,69554,16675,16609,69950,23238,34227,139504,39913
2019,081884,Sagàs,19,48,13,9,46,13,28,94,26
2019,251902,Salàs de Pallars,19,103,52,16,88,42,35,191,94
2019,081901,Saldes,5,104,50,6,71,38,11,175,88
2019,171544,Sales de Llierca,9,57,11,17,52,8,26,109,19
2019,081918,Sallent,452,2022,737,455,2031,961,907,4053,1698
2019,431359,Salomó,44,196,55,51,151,60,95,347,115
2019,439057,Salou,2280,10214,1647,2020,9416,1899,4300,19630,3546
2019,171557,Salt,3400,11391,1663,3077,9611,2220,6477,21002,3883
2019,251919,Sanaüja,18,125,59,17,96,65,35,221,124
2019,081944,Sant Adrià de Besòs,3173,12451,2627,2906,12162,3778,6079,24613,6405
2019,081957,Sant Agustí de Lluçanès,2,29,11,7,25,11,9,54,22
2019,081960,Sant Andreu de la Barca,2604,9342,1733,2497,9020,2362,5101,18362,4095
2019,081976,Sant Andreu de Llavaneres,906,3662,856,823,3690,1031,1729,7352,1887
2019,171576,Sant Andreu Salou,14,50,15,10,46,20,24,96,35
2019,171833,Sant Aniol de Finestres,26,112,39,25,103,36,51,215,75
2019,081982,Sant Antoni de Vilamajor,531,2068,432,501,2088,515,1032,4156,947
2019,081995,Sant Bartomeu del Grau,75,300,85,54,252,92,129,552,177
2019,082009,Sant Boi de Llobregat,6652,27453,6772,6241,27286,9201,12893,54739,15973
2019,082016,Sant Boi de Lluçanès,19,166,84,34,136,102,53,302,186
2019,431362,Sant Carles de la Ràpita,1006,4752,1480,981,4763,1807,1987,9515,3287
2019,082037,Sant Cebrià de Vallalta,305,1200,259,309,1062,250,614,2262,509
2019,082021,Sant Celoni,1566,6028,1345,1465,5734,1766,3031,11762,3111
2019,082042,Sant Climent de Llobregat,421,1385,269,386,1389,279,807,2774,548
2019,171582,Sant Climent Sescebes,39,272,53,45,150,67,84,422,120
2019,082055,Sant Cugat del Vallès,9060,29560,5577,8443,31221,7145,17503,60781,12722
2019,082068,Sant Cugat Sesgarrigues,81,325,82,100,313,106,181,638,188
2019,251961,Sant Esteve de la Sarga,3,42,27,4,31,17,7,73,44
2019,082074,Sant Esteve de Palautordera,271,937,183,257,975,197,528,1912,380
2019,082080,Sant Esteve Sesrovires,642,2642,551,597,2520,660,1239,5162,1211
2019,171595,Sant Feliu de Buixalleu,45,277,88,60,235,78,105,512,166
2019,082107,Sant Feliu de Codines,525,2224,419,466,2040,585,991,4264,1004
2019,171609,Sant Feliu de Guíxols,1732,7130,1940,1657,6999,2467,3389,14129,4407
2019,082114,Sant Feliu de Llobregat,3608,14465,3694,3454,14816,4823,7062,29281,8517
2019,171616,Sant Feliu de Pallerols,115,421,131,98,435,171,213,856,302
2019,082129,Sant Feliu Sasserra,43,195,74,40,168,82,83,363,156
2019,171621,Sant Ferriol,24,76,24,26,71,22,50,147,46
2019,082093,Sant Fost de Campsentelles,671,2867,814,600,2802,983,1271,5669,1797
2019,082135,Sant Fruitós de Bages,749,2922,624,747,2898,763,1496,5820,1387
2019,171637,Sant Gregori,407,1253,299,331,1216,311,738,2469,610
2019,251924,Sant Guim de Freixenet,74,351,113,79,274,134,153,625,247
2019,251977,Sant Guim de la Plana,12,66,28,6,46,27,18,112,55
2019,171642,Sant Hilari Sacalm,411,1881,551,437,1699,648,848,3580,1199
2019,082153,Sant Hipòlit de Voltregà,286,1177,266,248,1108,399,534,2285,665
2019,081939,Sant Iscle de Vallalta,128,467,92,118,421,106,246,888,198
2019,439023,Sant Jaume d'Enveja,223,1149,393,248,1042,448,471,2191,841
2019,082166,Sant Jaume de Frontanyà,1,9,8,2,7,3,3,16,11
2019,171655,Sant Jaume de Llierca,69,257,90,60,274,115,129,531,205
2019,431378,Sant Jaume dels Domenys,265,874,203,238,811,231,503,1685,434
2019,171674,Sant Joan de les Abadesses,203,998,403,190,913,525,393,1911,928
2019,171680,Sant Joan de Mollet,35,166,47,48,156,55,83,322,102
2019,082188,Sant Joan de Vilatorrada,926,3628,936,854,3423,1169,1780,7051,2105
2019,082172,Sant Joan Despí,2891,11134,2560,2725,11492,3321,5616,22626,5881
2019,171851,Sant Joan les Fonts,235,981,325,189,890,386,424,1871,711
2019,171668,Sant Jordi Desvalls,64,240,76,62,234,85,126,474,161
2019,089030,Sant Julià de Cerdanyola,15,84,26,10,65,28,25,149,54
2019,171693,Sant Julià de Ramis,345,1202,233,323,1179,233,668,2381,466
2019,082205,Sant Julià de Vilatorta,257,1042,240,254,1025,296,511,2067,536
2019,179032,Sant Julià del Llor i Bonmatí,117,439,95,113,422,100,230,861,195
2019,082212,Sant Just Desvern,1582,5505,1457,1499,5801,1961,3081,11306,3418
2019,082227,Sant Llorenç d'Hortons,201,837,188,194,795,198,395,1632,386
2019,171714,Sant Llorenç de la Muga,18,92,25,16,79,34,34,171,59
2019,251930,Sant Llorenç de Morunys,56,279,122,59,283,150,115,562,272
2019,082233,Sant Llorenç Savall,165,788,244,170,719,287,335,1507,531
2019,082251,Sant Martí d'Albars,7,33,16,10,30,16,17,63,32
2019,082248,Sant Martí de Centelles,80,446,74,85,375,107,165,821,181
2019,171729,Sant Martí de Llémena,51,231,48,52,214,37,103,445,85
2019,259025,Sant Martí de Riucorb,32,198,104,40,156,116,72,354,220
2019,082264,Sant Martí de Tous,124,406,107,119,356,123,243,762,230
2019,082270,Sant Martí Sarroca,258,1072,278,283,1048,325,541,2120,603
2019,082286,Sant Martí Sesgueioles,22,125,29,16,111,40,38,236,69
2019,171735,Sant Martí Vell,15,93,23,16,76,29,31,169,52
2019,082299,Sant Mateu de Bages,33,187,82,26,162,113,59,349,195
2019,171740,Sant Miquel de Campmajor,24,81,22,20,63,21,44,144,43
2019,171753,Sant Miquel de Fluvià,59,262,76,53,242,72,112,504,148
2019,171766,Sant Mori,11,61,18,12,55,20,23,116,38
2019,171772,Sant Pau de Segúries,49,208,90,41,213,96,90,421,186
2019,082310,Sant Pere de Ribes,2591,10594,2083,2547,10373,2531,5138,20967,4614
2019,082325,Sant Pere de Riudebitlles,225,728,228,193,706,288,418,1434,516
2019,082331,Sant Pere de Torelló,206,809,227,154,732,291,360,1541,518
2019,082346,Sant Pere de Vilamajor,370,1565,304,390,1479,364,760,3044,668
2019,171788,Sant Pere Pescador,164,772,148,178,590,190,342,1362,338
2019,081897,Sant Pere Sallavinera,16,47,19,9,36,25,25,83,44
2019,082359,Sant Pol de Mar,421,1668,515,399,1686,610,820,3354,1125
2019,082362,Sant Quintí de Mediona,197,770,187,177,696,227,374,1466,414
2019,082378,Sant Quirze de Besora,140,664,250,152,654,307,292,1318,557
2019,082384,Sant Quirze del Vallès,1903,6663,1299,1858,6894,1524,3761,13557,2823
2019,082397,Sant Quirze Safaja,53,242,41,61,193,37,114,435,78
2019,251945,Sant Ramon,20,154,80,34,124,79,54,278,159
2019,082401,Sant Sadurní d'Anoia,1163,4220,965,1062,4276,1201,2225,8496,2166
2019,082418,Sant Sadurní d'Osormort,3,35,9,2,21,8,5,56,17
2019,080983,Sant Salvador de Guardiola,267,1098,265,251,989,309,518,2087,574
2019,082628,Sant Vicenç de Castellet,825,3177,758,704,3006,1053,1529,6183,1811
2019,082649,Sant Vicenç de Montalt,561,2091,547,504,2128,576,1065,4219,1123
2019,082652,Sant Vicenç de Torelló,176,685,158,151,679,209,327,1364,367
2019,082634,Sant Vicenç dels Horts,2269,9667,2023,2187,9366,2605,4456,19033,4628
2019,431384,Santa Bàrbara,280,1225,376,273,1125,428,553,2350,804
2019,082439,Santa Cecília de Voltregà,11,68,20,12,60,16,23,128,36
2019,082444,Santa Coloma de Cervelló,792,2741,493,826,2760,606,1618,5501,1099
2019,171805,Santa Coloma de Farners,1126,4516,979,1136,4177,1209,2262,8693,2188
2019,082457,Santa Coloma de Gramenet,9451,39528,9916,8881,37958,13481,18332,77486,23397
2019,431397,Santa Coloma de Queralt,205,852,271,179,799,367,384,1651,638
2019,171812,Santa Cristina d'Aro,414,1775,435,432,1674,493,846,3449,928
2019,082460,Santa Eugènia de Berga,173,776,193,154,742,210,327,1518,403
2019,082476,Santa Eulàlia de Riuprimer,143,448,95,132,411,116,275,859,211
2019,082482,Santa Eulàlia de Ronçana,623,2441,575,598,2367,684,1221,4808,1259
2019,082495,Santa Fe del Penedès,31,127,27,30,126,33,61,253,60
2019,171827,Santa Llogaia d'Àlguema,38,126,25,40,108,33,78,234,58
2019,082508,Santa Margarida de Montbui,913,3304,776,849,3175,963,1762,6479,1739
2019,082515,Santa Margarida i els Monjos,768,2583,505,736,2435,584,1504,5018,1089
2019,082589,Santa Maria d'Oló,84,324,113,66,299,139,150,623,252
2019,082536,Santa Maria de Besora,10,52,16,9,39,24,19,91,40
2019,082567,Santa Maria de Martorelles,80,311,58,76,287,81,156,598,139
2019,082554,Santa Maria de Merlès,17,60,12,23,56,16,40,116,28
2019,082573,Santa Maria de Miralles,7,45,16,8,34,16,15,79,32
2019,082592,Santa Maria de Palautordera,791,3266,703,714,3089,860,1505,6355,1563
2019,431401,Santa Oliva,303,1098,284,274,1032,329,577,2130,613
2019,171848,Santa Pau,119,501,172,101,490,182,220,991,354
2019,431508,Tivissa,106,499,194,82,490,231,188,989,425
2019,082606,Santa Perpètua de Mogoda,2380,8847,1731,2183,8499,2159,4563,17346,3890
2019,082613,Santa Susanna,305,1151,265,292,1123,310,597,2274,575
2019,081923,Santpedor,754,2391,610,648,2423,728,1402,4814,1338
2019,431423,Sarral,111,530,148,137,458,164,248,988,312
2019,171864,Sarrià de Ter,446,1709,375,439,1707,494,885,3416,869
2019,252017,Sarroca de Bellera,1,42,25,5,30,18,6,72,43
2019,252000,Sarroca de Lleida,18,113,69,14,89,60,32,202,129
2019,171870,"Saus, Camallera i Llampaies",64,271,89,62,248,103,126,519,192
2019,431439,Savallà del Comtat,1,22,8,0,17,10,1,39,18
2019,431444,"Secuita, la",142,580,129,151,542,143,293,1122,272
2019,171886,"Selva de Mar, la",8,69,31,5,55,28,13,124,59
2019,431457,"Selva del Camp, la",490,1941,405,460,1852,504,950,3793,909
2019,431460,Senan,3,18,12,3,9,3,6,27,15
2019,430445,"Sénia, la",412,1904,528,394,1803,640,806,3707,1168
2019,252022,Senterada,4,65,11,6,40,11,10,105,22
2019,250352,"Sentiu de Sió, la",17,138,61,19,115,56,36,253,117
2019,082671,Sentmenat,852,3153,606,756,3016,695,1608,6169,1301
2019,171903,Serinyà,109,372,95,92,363,105,201,735,200
2019,252043,Seròs,140,700,189,140,529,224,280,1229,413
2019,171910,Serra de Daró,18,79,25,15,59,25,33,138,50
2019,171925,Setcases,10,61,27,5,56,18,15,117,45
2019,252038,"Seu d'Urgell, la",873,3976,993,872,4060,1315,1745,8036,2308
2019,082690,Seva,300,1197,287,259,1134,342,559,2331,629
2019,252056,Sidamon,68,261,54,49,228,74,117,489,128
2019,171931,Sils,547,2086,475,488,1970,527,1035,4056,1002
2019,082704,Sitges,2188,10075,2445,1974,9663,2962,4162,19738,5407
2019,170524,Siurana,11,56,17,10,52,22,21,108,39
2019,082711,Sobremunt,1,28,7,6,28,9,7,56,16
2019,252069,"Soleràs, el",15,110,48,20,80,59,35,190,107
2019,431476,Solivella,47,203,83,27,182,91,74,385,174
2019,252075,Solsona,736,3032,720,730,2879,997,1466,5911,1717
2019,082726,Sora,22,71,24,13,60,19,35,131,43
2019,252081,Soriguera,37,151,32,22,136,32,59,287,64
